shrine_id,role_type,role_name,status,source_url,note
J0001,ICHINOMIYA,大和国一宮,confirmed,https://ichinomiya.gr.jp/,
J0002,ICHINOMIYA,出雲国一宮,confirmed,https://ichinomiya.gr.jp/,
J0004,ICHINOMIYA,常陸国一宮,confirmed,https://ichinomiya.gr.jp/,
J0004,JINGU,神宮,confirmed,https://kashimajingu.jp/,
J0005,ICHINOMIYA,信濃国一宮,confirmed,https://ichinomiya.gr.jp/,上社本宮を登録中
J0006,ICHINOMIYA,下総国一宮,confirmed,https://ichinomiya.gr.jp/,
J0006,JINGU,神宮,confirmed,https://katori-jingu.or.jp/,
J0008,ICHINOMIYA,豊前国一宮,confirmed,https://ichinomiya.gr.jp/,
J0012,ICHINOMIYA,安芸国一宮,confirmed,https://ichinomiya.gr.jp/,
J0014,ICHINOMIYA,備中国一宮,confirmed,https://ichinomiya.gr.jp/,
J0015,ICHINOMIYA,伊予国一宮,confirmed,https://ichinomiya.gr.jp/,
J0016,ICHINOMIYA,山城国一宮,confirmed,https://ichinomiya.gr.jp/,
J0017,ICHINOMIYA,山城国一宮,confirmed,https://ichinomiya.gr.jp/,
J0018,ICHINOMIYA,摂津国一宮,confirmed,https://ichinomiya.gr.jp/,
J0019,ICHINOMIYA,伊勢国一宮,confirmed,https://ichinomiya.gr.jp/,
J0020,ICHINOMIYA,志摩国一宮,confirmed,https://ichinomiya.gr.jp/,
J0021,ICHINOMIYA,三河国一宮,confirmed,https://ichinomiya.gr.jp/,
J0022,ICHINOMIYA,遠江国一宮,confirmed,https://ichinomiya.gr.jp/,
J0023,ICHINOMIYA,伊豆国一宮,confirmed,https://ichinomiya.gr.jp/,
J0024,ICHINOMIYA,甲斐国一宮,confirmed,https://ichinomiya.gr.jp/,
J0025,ICHINOMIYA,相模国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0026,ICHINOMIYA,河内国一宮,confirmed,https://ichinomiya.gr.jp/,
J0027,ICHINOMIYA,伊賀国一宮,confirmed,https://ichinomiya.gr.jp/,
J0028,ICHINOMIYA,伊勢国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0029,ICHINOMIYA,尾張国一宮,confirmed,https://ichinomiya.gr.jp/,
J0030,ICHINOMIYA,駿河国一宮,confirmed,https://ichinomiya.gr.jp/,
J0031,ICHINOMIYA,武蔵国一宮,confirmed,https://ichinomiya.gr.jp/,
J0032,ICHINOMIYA,安房国一宮,confirmed,https://ichinomiya.gr.jp/,
J0033,ICHINOMIYA,近江国一宮,confirmed,https://ichinomiya.gr.jp/,
J0034,ICHINOMIYA,下野国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0035,ICHINOMIYA,陸奥国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0036,ICHINOMIYA,陸奥国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0037,ICHINOMIYA,出羽国一宮,confirmed,https://ichinomiya.gr.jp/,
J0038,ICHINOMIYA,越後国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0039,ICHINOMIYA,佐渡国一宮,confirmed,https://ichinomiya.gr.jp/,
J0040,ICHINOMIYA,丹後国一宮,confirmed,https://ichinomiya.gr.jp/,
J0041,ICHINOMIYA,因幡国一宮,confirmed,https://ichinomiya.gr.jp/,
J0042,ICHINOMIYA,石見国一宮,confirmed,https://ichinomiya.gr.jp/,
J0043,ICHINOMIYA,播磨国一宮,confirmed,https://ichinomiya.gr.jp/,
J0044,ICHINOMIYA,備前国一宮,confirmed,https://ichinomiya.gr.jp/,
J0045,ICHINOMIYA,筑前国一宮,confirmed,https://ichinomiya.gr.jp/,
J0046,ICHINOMIYA,肥前国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0047,ICHINOMIYA,肥後国一宮,confirmed,https://ichinomiya.gr.jp/,
J0048,ICHINOMIYA,日向国一宮,confirmed,https://ichinomiya.gr.jp/,
J0049,ICHINOMIYA,岩代国一宮,confirmed,https://ichinomiya.gr.jp/,新一の宮
J0050,ICHINOMIYA,薩摩国一宮,candidate,https://ichinomiya.gr.jp/,候補社として保持
J0051,ICHINOMIYA,対馬国一宮,confirmed,https://ichinomiya.gr.jp/,
