group_order,historical_name,current_name,status,existing_jinja_id,source_url,note
上七社,伊勢,神宮,partial_existing,J0003,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,現状は皇大神宮（内宮）のみ登録。豊受大神宮を含む神宮全体の扱いを要設計
上七社,石清水,石清水八幡宮,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
上七社,賀茂,賀茂別雷神社,existing,J0016,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,賀茂社の一社
上七社,賀茂,賀茂御祖神社,existing,J0017,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,賀茂社の一社
上七社,松尾,松尾大社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
上七社,平野,平野神社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
上七社,稲荷,伏見稲荷大社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
上七社,春日,春日大社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
中七社,大原野,大原野神社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
中七社,大神,大神神社,existing,J0001,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
中七社,石上,石上神宮,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
中七社,大和,大和神社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
中七社,広瀬,廣瀬大社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
中七社,竜田,龍田大社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
中七社,住吉,住吉大社,existing,J0018,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
下八社,日吉,日吉大社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
下八社,梅宮,梅宮大社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
下八社,吉田,吉田神社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
下八社,広田,廣田神社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
下八社,祇園,八坂神社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
下八社,北野,北野天満宮,existing,J0010,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
下八社,丹生,丹生川上神社上社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,丹生社の構成社
下八社,丹生,丹生川上神社中社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,丹生社の構成社
下八社,丹生,丹生川上神社下社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,丹生社の構成社
下八社,貴船,貴船神社,unregistered,,https://d-museum.kokugakuin.ac.jp/search_by_word/id%3D18097,
