shrine_id,field_scope,source_url,checked_date,note
J0003,name|address|main_god_ids,https://www.isejingu.or.jp/about/naiku/index.html,2026-08-28,皇大神宮・天照大御神・宇治館町を確認
J0005,name|address|main_god_ids,https://suwataisha.or.jp/about/miyamori/kamishahonmiya/,2026-08-28,上社本宮・所在地・建御名方神を確認
J0006,name|address|main_god_ids,https://katori-jingu.or.jp/about/history/,2026-08-28,香取神宮・香取1697・経津主大神を確認
J0006,lat|lng|rank,https://kojiki.kokugakuin.ac.jp/jinjya/katorijingu/,2026-08-28,緯度経度・旧社格等を確認
J0007,name|address|main_god_ids,https://www.meijijingu.or.jp/about/,2026-08-28,明治天皇・昭憲皇太后・代々木神園町1-1を確認
J0007,lat|lng,https://geoshape.ex.nii.ac.jp/nrct-poi/resource/13/130000303900.html,2026-08-28,位置座標を確認
J0008,name|address|main_god_ids,https://www.usajinguu.com/lineage/,2026-08-28,八幡大神・比売大神・神功皇后を確認
J0008,lat|lng|rank,https://kojiki.kokugakuin.ac.jp/jinjya/usajingu/,2026-08-28,位置座標・旧社格等を確認
J0009,name|main_god_ids,https://www.dazaifutenmangu.or.jp/about,2026-08-28,菅原道真公を確認
J0009,address,https://www.dazaifutenmangu.or.jp/access,2026-08-28,宰府4丁目7-1を確認
J0009,lat|lng,https://geoshape.ex.nii.ac.jp/nrct-poi/resource/41/index.html,2026-08-28,位置座標を確認
J0010,name|address|main_god_ids,https://kitanotenmangu.or.jp/about/,2026-08-28,菅原道真公を確認
J0010,lat|lng|rank,https://jmapps.ne.jp/kokugakuin/det.html?data_id=53385,2026-08-28,位置座標・旧社格を確認
J0011,name|address|main_god_ids|sub_god_ids,https://munakata-taisha.or.jp/about_hetsu.html,2026-08-28,辺津宮・市杵島姫神・第二宮第三宮を確認
J0011,lat|lng,https://mapfan.com/spots/SCA5A%2CJ%2CW,2026-08-28,位置座標を確認
J0012,name|address|main_god_ids,https://www.itsukushimajinja.jp/jp-sp/history.html,2026-08-28,宗像三女神を確認
J0012,address,https://www.itsukushimajinja.jp/jp/access.html,2026-08-28,宮島町1-1を確認
J0012,lat|lng,https://mapfan.com/spots/SCAQC%2CJ%2CDVK8Z,2026-08-28,位置座標を確認
J0013,name|address,https://toshogu.jp/,2026-08-28,日光市山内2301を確認
J0013,lat|lng,https://geoshape.ex.nii.ac.jp/nrct-poi/resource/09/,2026-08-28,位置座標を確認
J0014,name|main_god_ids,https://kibitujinja.com/about/engi.php,2026-08-28,大吉備津彦命を確認
J0014,address|lat|lng|rank,https://kojiki.kokugakuin.ac.jp/jinjya/kibitsujinja/,2026-08-28,吉備津931・位置座標・旧社格等を確認
J0015,name|address,https://oomishimagu.jp/,2026-08-28,大山祇神社・宮浦3327を確認
J0015,main_god_ids,https://ehime-jinjacho.jp/jinja/?p=1542,2026-08-28,祭神名大山積神を確認
J0015,lat|lng|rank,https://jmapps.ne.jp/kokugakuin/det.html?data_id=53420,2026-08-28,位置座標・旧社格等を確認
